,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
55,Geraldton,5,CA,1554620400,92,49.72,-86.95,23.0,2.24
56,Barrow,0,AR,1554624876,61,-38.31,-60.23,54.23,9.55
57,Saldanha,48,PT,1554624994,76,41.42,-6.55,45.77,4.63
58,Constitucion,0,MX,1554624994,63,23.99,-104.67,39.29,3.74
59,Mnogovershinnyy,76,RU,1554624994,84,53.94,139.92,31.46,4.97
60,Komsomolskiy,76,RU,1554624994,99,67.55,63.78,26.87,15.82
61,Qaanaaq,0,GL,1554624907,76,77.48,-69.36,9.05,13.24
62,Tandil,0,AR,1554624909,87,-37.33,-59.14,51.01,3.62
63,Banepa,75,NP,1554623400,63,27.63,85.52,66.2,4.7
64,Adrar,0,DZ,1554620400,38,27.87,-0.29,59.0,11.41
65,Souillac,0,FR,1554624966,93,45.6,-0.6,46.99,5.82
66,Atambua,44,ID,1554624996,90,-9.11,124.89,82.58,2.39
67,Lishui,0,CN,1554624996,48,28.45,119.91,76.01,1.95
68,Puerto del Rosario,20,ES,1554622200,72,28.5,-13.86,62.6,9.17
69,Iqaluit,75,CA,1554624127,67,63.75,-68.52,17.6,12.75
70,Marsa Matruh,75,EG,1554620400,88,31.35,27.25,64.4,5.82
71,Husavik,92,CA,1554624915,97,50.56,-96.99,37.0,3.0
72,Vaini,0,IN,1554620400,18,15.34,74.49,96.8,9.17
73,Faanui,88,PF,1554624997,95,-16.48,-151.75,86.36,16.93
74,Thompson,75,CA,1554620400,56,55.74,-97.86,12.2,8.05
75,Nabire,56,ID,1554624997,91,-3.36,135.5,75.38,0.72
76,Saint-Philippe,90,CA,1554624802,93,45.36,-73.48,39.2,2.24
77,Ilulissat,88,GL,1554623400,44,69.22,-51.1,37.4,33.33
78,Mar del Plata,0,AR,1554624998,53,-46.43,-67.52,52.97,8.77
79,Wanaka,0,NZ,1554624794,80,-44.7,169.14,28.85,1.95
80,Salalah,0,OM,1554619800,66,17.01,54.1,86.0,8.05
81,Sao Felix do Xingu,68,BR,1554624998,99,-6.64,-51.99,73.94,1.95
82,Providencia,76,CO,1554624999,97,1.24,-77.6,52.61,2.06
83,Castro,90,CL,1554620400,100,-42.48,-73.76,55.4,6.93
84,Portland,90,US,1554624784,87,45.52,-122.67,48.99,11.41
85,Grand Gaube,40,MU,1554624839,55,-20.01,57.66,86.0,13.87
86,Luderitz,0,NA,1554625000,91,-26.65,15.16,61.34,9.22
87,Axim,12,GH,1554625000,93,4.87,-2.24,84.56,14.03
88,Upernavik,0,GL,1554625000,73,72.79,-56.15,26.33,8.21
89,Izhma,0,RU,1554625001,65,65.01,53.91,44.24,6.08
90,Russell,0,AR,1554624000,50,-33.01,-68.8,57.2,2.84
91,Port Alfred,0,ZA,1554624661,83,-33.59,26.89,68.0,7.0
92,Avarua,64,CK,1554622200,83,-21.21,-159.78,75.2,3.36
93,Avera,20,US,1554624935,88,33.19,-82.53,64.99,3.18
94,Petropavlovsk-Kamchatskiy,88,RU,1554622200,55,53.05,158.65,39.2,11.18
95,Chodavaram,40,IN,1554622200,41,17.44,81.78,95.0,13.87
96,Carnarvon,32,ZA,1554625002,31,-30.97,22.13,74.66,12.24
97,Saskylakh,64,RU,1554624908,92,71.97,114.09,28.76,16.04
98,Meulaboh,56,ID,1554625002,100,4.14,96.13,82.49,5.41
99,Santo Amaro da Imperatriz,75,BR,1554624925,94,-27.69,-48.78,69.8,4.7
100,Yellowknife,90,CA,1554624379,79,62.45,-114.38,19.4,11.41
101,Ovalle,0,CL,1554624963,89,-30.6,-71.2,55.76,2.39
102,Staryy Nadym,0,RU,1554625003,89,65.61,72.68,30.74,15.82
103,Tiksi,0,RU,1554625003,62,71.64,128.87,29.12,9.22
104,Chapais,1,CA,1554620400,84,49.78,-74.86,8.6,4.7
105,Kruisfontein,0,ZA,1554625004,73,-34.0,24.73,69.08,9.66
106,Sistranda,75,NO,1554624869,64,63.73,8.83,39.2,25.28
107,Buala,76,SB,1554625004,100,-8.15,159.59,78.71,2.17
108,Esperance,20,TT,1554624930,88,10.24,-61.45,75.2,3.36
109,Cabo San Lucas,8,MX,1554624624,78,22.89,-109.91,66.99,9.89
110,Tateyama,75,JP,1554624614,55,36.66,137.31,60.8,10.29
111,Abu Samrah,20,SY,1554625005,93,35.3,37.18,67.28,4.41
112,Muroto,20,JP,1554620400,68,33.37,134.14,66.2,5.82
113,Codrington,0,AU,1554624793,65,-28.95,153.24,78.8,12.75
114,Provideniya,0,RU,1554625006,100,64.42,-173.23,15.89,19.51
115,Bezhta,80,RU,1554624992,86,42.13,46.13,44.51,1.39
116,Hermanus,20,ZA,1554624978,76,-34.42,19.24,71.01,7.0
117,Nioro,0,GM,1554625006,28,13.79,-15.05,84.47,13.47
118,Trapani,75,IT,1554624992,71,38.02,12.54,62.01,9.17
119,Butaritari,88,KI,1554624884,100,3.07,172.79,82.04,13.13
120,Bandarbeyla,8,SO,1554624937,100,9.49,50.81,80.51,6.64
121,Brandon,90,US,1554624512,87,43.59,-96.57,57.2,11.45
122,Beaupre,75,CA,1554624125,86,47.04,-70.9,35.6,10.29
123,Maniitsoq,88,GL,1554624932,75,65.42,-52.9,30.38,12.8
124,Sitka,0,US,1554624994,95,37.17,-99.65,50.0,5.08
125,Merrill,90,US,1554624985,70,42.03,-121.6,48.2,14.99
126,Buta,88,CD,1554625008,92,2.79,24.73,74.21,2.95
127,Hanzhong,0,CN,1554625009,19,33.08,107.03,82.58,9.1
128,Mahon,75,IE,1554624490,97,51.89,-8.4,43.0,6.93
129,Ust-Nera,12,RU,1554625009,91,64.57,143.24,23.81,2.06
130,Ketchikan,90,US,1554622440,81,55.34,-131.65,46.4,8.05
131,Bethel,75,US,1554620160,68,60.79,-161.76,33.8,12.75
132,Riyadh,24,SA,1554620400,30,24.63,46.72,86.0,11.41
133,Torbay,90,CA,1554624983,87,47.66,-52.73,32.0,2.24
134,Laguna,8,MX,1554625010,74,27.52,-110.01,57.65,2.28
135,Georgetown,32,GY,1554624903,71,6.8,-58.16,77.36,7.31
136,Nemuro,20,JP,1554620400,60,43.32,145.57,41.0,9.17
137,Naco,1,MX,1554624976,70,31.32,-109.94,53.01,10.29
138,Tasiilaq,92,GL,1554623400,58,65.61,-37.64,30.2,41.38
139,San Jose de Gracia,0,MX,1554625012,70,20.67,-102.58,50.72,1.72
140,Gat,12,SN,1554622200,68,14.69,-16.54,75.2,16.11
141,Pointe-Noire,75,CG,1554620400,88,-4.8,11.85,80.6,3.36
142,Fortuna,75,ES,1554624980,66,38.18,-1.13,55.99,16.11
143,Caravelas,64,BR,1554625013,96,-17.73,-39.27,82.76,9.66
144,Puerto Baquerizo Moreno,0,EC,1554625013,98,-0.9,-89.6,80.69,7.31
145,Lebu,20,ET,1554620400,43,8.96,38.73,69.8,13.87
146,Klaksvik,12,FO,1554623400,75,62.23,-6.59,41.0,11.41
147,Lazaro Cardenas,0,MX,1554624934,37,28.39,-105.62,57.99,3.0
148,Sikonge,0,TZ,1554620400,65,-5.63,32.75,77.0,11.41
149,Port Hardy,90,CA,1554620400,93,50.7,-127.42,42.8,11.41
150,Kuryk,92,KZ,1554625015,97,43.18,51.68,53.96,15.26
151,Nikolskoye,0,RU,1554624898,37,59.7,30.79,60.01,8.95
152,Ballina,0,IE,1554624784,86,54.11,-9.15,45.0,5.82
153,Grindavik,0,IS,1554624000,80,63.84,-22.43,35.6,3.36
154,Hobyo,0,SO,1554625015,65,5.35,48.53,86.45,11.34
155,Ponta do Sol,88,BR,1554625016,97,-20.63,-46.0,65.84,1.72
156,Kyren,64,RU,1554625016,61,51.68,102.13,34.52,1.95
157,Gizo,20,IL,1554624976,34,31.8,34.94,81.0,11.41
158,Tuktoyaktuk,32,CA,1554625016,87,69.44,-133.03,4.37,15.14
159,Walvis Bay,90,NA,1554624126,82,-22.95,14.51,61.0,5.82
160,Kodiak,90,US,1554625000,93,39.95,-94.76,57.99,3.36
161,Shimoda,20,JP,1554621180,22,34.7,138.93,75.2,19.46
162,Solnechnyy,12,RU,1554625017,76,50.72,136.64,34.7,5.75
163,Sept-Iles,5,CA,1554620400,63,50.2,-66.38,28.4,6.93
164,Les Cayes,36,HT,1554625018,98,18.19,-73.75,79.25,11.45
165,Arraial do Cabo,0,BR,1554625018,96,-22.97,-42.02,77.81,8.1
166,Houma,8,CN,1554625018,23,35.63,111.36,78.44,2.73
167,Kaeo,0,NZ,1554624485,83,-35.1,173.78,54.0,4.74
168,Hualmay,44,PE,1554625018,90,-11.1,-77.61,63.32,3.51
169,Victoria,75,BN,1554622200,74,5.28,115.24,87.8,6.93
170,Hovd,75,NO,1554624902,60,63.83,10.7,41.0,16.11
171,Sturgis,90,US,1554624989,100,44.41,-103.51,48.99,17.22
172,Santa Cruz de la Palma,20,ES,1554624911,67,28.68,-17.76,60.8,5.82
173,Araouane,0,ML,1554625020,26,18.9,-3.53,72.41,13.24
174,Korhogo,44,CI,1554625020,72,9.46,-5.63,82.76,11.45
175,Lalibela,36,ET,1554625020,68,12.04,39.05,66.56,2.51
176,Cherskiy,0,RU,1554625021,57,68.75,161.3,5.81,1.95
177,Zhigansk,0,RU,1554625021,52,66.77,123.37,29.84,6.98
178,Kavieng,92,PG,1554624920,100,-2.57,150.8,76.1,5.19
179,Jalingo,36,NG,1554625021,29,10.21,12.82,96.62,9.44
180,Severo-Kurilsk,92,RU,1554625022,94,50.68,156.12,32.72,21.74
181,Northam,75,GB,1554624971,87,51.04,-4.21,48.0,12.75
182,Matagami,0,NG,1554624965,64,9.67,8.4,84.2,6.64
183,Bahia Blanca,0,AR,1554624851,87,-38.72,-62.27,56.75,7.54
184,Bambous Virieux,40,MU,1554624839,55,-20.34,57.76,86.0,13.87
185,Kawalu,88,ID,1554625022,91,-7.38,108.21,73.76,2.73
186,Oranjemund,80,ZA,1554625023,94,-28.55,16.43,60.71,4.63
187,Dunedin,0,NZ,1554624567,82,-45.87,170.5,55.0,18.99
188,Xai-Xai,76,MZ,1554625023,93,-25.04,33.64,79.16,6.42
189,Minsk,0,BY,1554622200,49,53.9,27.56,48.2,8.95
190,Chuy,92,UY,1554625024,91,-33.69,-53.46,58.82,3.62
191,Tessalit,0,ML,1554625024,22,20.2,1.01,75.47,9.66
192,Talcahuano,20,CL,1554620400,93,-36.72,-73.12,50.0,5.82
193,Nador,75,MA,1554622200,58,35.17,-2.93,59.0,8.05
194,Zharkent,8,KZ,1554625024,84,44.17,80.0,39.74,0.94
195,Payo,24,ID,1554625025,85,-3.75,103.64,85.82,4.41
196,Egvekinot,0,RU,1554624882,73,66.32,-179.17,7.07,11.34
197,Port Macquarie,40,AU,1554624905,51,-31.43,152.91,80.6,9.17
198,Talnakh,68,RU,1554625025,89,69.49,88.39,16.34,8.43
199,Pantai Remis,75,MY,1554620400,66,4.46,100.63,91.4,5.82
200,Acapulco,5,MX,1554622920,88,16.86,-99.88,75.2,2.73
201,Polewali,12,ID,1554625026,57,-4.03,119.8,89.06,10.45
202,Vila Franca do Campo,20,PT,1554625025,71,37.72,-25.43,55.0,9.17
203,Nome,90,US,1554624995,88,30.04,-94.42,73.4,9.17
204,College,1,US,1554624927,58,64.86,-147.8,33.8,3.36
205,Anadyr,0,RU,1554620400,72,64.73,177.51,14.0,6.71
206,Seymchan,0,RU,1554625027,84,62.93,152.39,22.01,6.64
207,Broome,90,GB,1554624998,93,52.47,1.45,48.0,6.93
208,Kondoa,0,TZ,1554625027,48,-4.91,35.78,80.78,9.1
209,Batangafo,12,CF,1554625027,48,7.3,18.29,92.12,15.03
210,Katsuura,20,JP,1554624300,35,33.93,134.5,71.6,6.93
211,Ambilobe,0,MG,1554625028,63,-13.19,49.05,90.86,8.88
212,Cayenne,75,GF,1554622200,94,4.94,-52.33,75.2,3.36
213,Kankaanpaa,92,FI,1554625025,51,61.8,22.42,46.0,4.7
214,Plavinas,44,LV,1554625029,57,56.62,25.73,52.88,7.65
215,Dabakala,80,CI,1554625029,84,8.36,-4.43,83.39,9.66
216,Nueva Gerona,0,CU,1554625029,96,21.88,-82.8,76.46,8.21
217,Vung Tau,0,VN,1554625029,86,10.35,107.08,85.55,13.91
218,Burnie,100,AU,1554624904,96,-41.05,145.91,57.99,15.99
219,Nago,75,IT,1554625023,81,45.88,10.89,57.99,4.7
220,Rawson,8,AR,1554625030,81,-43.3,-65.11,51.17,3.06
221,Sao Geraldo do Araguaia,88,BR,1554625030,100,-6.4,-48.55,72.59,4.18
222,Ixtapa,5,MX,1554624919,83,20.71,-105.21,71.01,5.82
223,Qixia,0,CN,1554624518,16,37.31,120.83,64.99,1.99
224,Pisco,8,PE,1554620400,94,-13.71,-76.2,69.8,3.36
225,Alofi,32,NU,1554620400,94,-19.06,-169.92,78.8,2.24
226,Ingham,48,AU,1554625031,88,-18.65,146.16,78.89,12.8
227,Raymondville,90,US,1554624961,87,37.34,-91.83,61.0,10.29
228,Port Elizabeth,1,US,1554625031,93,39.31,-74.98,48.99,4.7
229,Umba,32,RU,1554625032,92,66.69,34.34,33.53,4.63
230,Altagracia de Orituco,36,VE,1554625032,86,9.86,-66.38,72.14,7.76
231,Fairbanks,1,US,1554624816,58,64.84,-147.72,30.2,3.36
232,Vila Velha,0,BR,1554624490,94,-3.71,-38.6,77.0,4.7
233,Iwanai,0,JP,1554625033,90,42.97,140.51,38.48,7.43
234,Ucluelet,92,CA,1554624717,97,48.94,-125.55,46.0,2.39
235,Pitkyaranta,56,RU,1554625033,83,61.57,31.48,42.71,4.97
236,Artigas,44,BR,1554624909,88,-30.4,-56.46,53.6,5.41
237,Guymon,1,US,1554623760,54,36.68,-101.48,55.4,8.05
238,Barrhead,20,CA,1554622320,100,54.12,-114.4,28.4,5.82
239,Swan Hill,8,AU,1554625034,44,-35.34,143.56,69.62,10.0
240,Krasnoarmeysk,75,RU,1554624391,56,56.12,38.15,50.0,8.95
241,Oussouye,0,SN,1554620400,78,12.49,-16.54,75.2,4.7
242,Moyale,8,ET,1554625035,50,3.52,39.05,85.01,9.66
243,Vaasa,88,FI,1554625007,59,63.1,21.62,43.0,4.7
244,Namibe,0,AO,1554625035,100,-15.19,12.15,77.18,7.43
245,Moranbah,32,AU,1554625035,46,-22.0,148.04,78.44,10.78
246,Karratha,8,AU,1554625036,16,-20.74,116.85,101.93,12.57
247,Chokurdakh,48,RU,1554625036,74,70.62,147.9,13.91,2.95
248,Weatherford,75,US,1554624857,93,32.76,-97.8,63.0,5.82
249,Krasnyy Chikoy,0,RU,1554625036,14,50.36,108.75,36.5,3.06
250,Vanino,8,RU,1554624911,55,53.93,40.55,41.0,3.0
251,Iquitos,75,PE,1554620400,88,-3.75,-73.25,77.0,6.93
252,Bailen,88,ES,1554624929,64,38.1,-3.78,52.0,11.23
253,Dezhou,0,CN,1554625037,39,37.45,116.31,73.31,8.66
254,Amarillo,1,US,1554625024,76,35.21,-101.83,52.0,8.05
255,Skibotn,75,NO,1554624828,74,69.39,20.27,32.0,6.93
256,San Vicente,20,SV,1554623400,88,13.64,-88.78,77.0,3.36
257,Lanzhou,20,CN,1554620400,17,36.06,103.82,66.2,4.47
258,Lorengau,44,PG,1554625039,100,-2.02,147.27,80.24,8.21
259,Almaznyy,0,RU,1554622200,41,48.03,40.04,59.0,20.13
260,Yulara,0,AU,1554620400,14,-25.24,130.99,95.0,9.17
261,Luanda,75,AO,1554620400,88,-8.83,13.24,82.4,6.93
262,Maragogi,92,BR,1554624844,93,-9.01,-35.22,77.18,1.05
263,Necochea,0,AR,1554624977,82,-38.55,-58.74,53.51,8.21
264,Laiyang,0,CN,1554624518,16,36.98,120.7,64.99,1.99
265,Biltine,0,TD,1554625040,15,14.53,20.93,102.65,8.55
266,Dicabisagan,8,PH,1554625041,91,17.08,122.42,81.05,5.97
267,Ulaangom,76,MN,1554625041,71,49.98,92.07,27.59,5.41
268,Pevek,12,RU,1554625041,61,69.7,170.27,1.13,5.75
269,Verkhoyansk,20,RU,1554625041,72,67.55,133.39,25.97,2.62
270,Baoqing,88,CN,1554625042,89,46.32,132.2,37.94,3.18
271,Ranfurly,24,CA,1554625042,84,53.41,-111.68,29.21,5.19
272,Svetlogorsk,0,RU,1554622200,66,53.14,59.15,44.6,4.47
273,Wanning,40,AT,1554624936,70,48.64,13.53,63.0,4.7
274,Myrhorod,8,UA,1554625042,78,49.97,33.61,55.22,11.56
275,Broken Hill,0,AU,1554620400,19,-31.97,141.45,86.0,19.46
276,Pingliang,0,CN,1554625043,26,35.54,106.68,73.94,8.66
277,Tambacounda,20,SN,1554625043,22,13.77,-13.67,87.08,14.03
278,Asyut,0,EG,1554620400,43,27.18,31.19,69.8,16.11
279,Port Lincoln,88,AU,1554625044,85,-34.72,135.86,65.39,14.14
280,Dhidhdhoo,12,MV,1554625044,100,6.88,73.1,85.37,4.74
281,Pangyan,75,PH,1554620400,49,5.7,125.28,93.2,11.41
282,Mitsamiouli,20,KM,1554620400,59,-11.38,43.28,91.4,13.87
283,Pangkalanbuun,64,ID,1554624848,71,-2.68,111.62,87.89,6.64
284,Mantua,75,IT,1554625023,81,45.16,10.79,57.0,4.7
285,Gornopravdinsk,0,RU,1554625045,71,60.06,69.92,43.52,8.43
286,Akdepe,0,TM,1554622200,41,42.05,59.39,60.8,13.87
287,Clyde River,8,CA,1554620400,92,70.47,-68.59,6.8,21.92
288,San Cristobal,75,EC,1554625043,93,-0.39,-78.55,55.4,2.24
289,Vardo,1,US,1554624736,100,39.62,-77.74,51.01,2.62
290,Bandiagara,8,ML,1554625046,24,14.35,-3.61,84.38,17.05
291,Sale,90,GB,1554625030,87,53.42,-2.32,48.99,5.82
292,Vikulovo,20,RU,1554625046,91,55.07,40.96,43.16,8.55
293,Ulagan,68,RU,1554625046,51,50.63,87.96,24.26,5.41
294,Kachiry,0,KZ,1554625047,56,53.07,76.1,44.42,10.22
295,Vestmannaeyjar,0,IS,1554625047,95,63.44,-20.27,37.22,14.03
296,Markova,0,RU,1554624000,28,52.21,104.21,46.4,11.18
297,Kerrville,90,US,1554625037,88,30.05,-99.14,69.01,6.93
298,Yar-Sale,0,RU,1554625047,88,66.83,70.83,28.76,20.85
299,Nanortalik,88,GL,1554624917,98,60.14,-45.24,30.38,10.22
300,Vavozh,76,RU,1554625048,91,56.77,51.93,42.8,9.55
301,Guerrero Negro,0,MX,1554625048,99,27.97,-114.04,55.22,9.1
302,Viransehir,92,TR,1554625048,100,37.24,39.76,58.01,4.63
303,Voi,8,KE,1554625049,53,-3.4,38.57,84.92,3.85
304,Issoire,0,FR,1554622200,75,45.54,3.25,42.8,1.12
305,Berlevag,32,NO,1554625049,100,70.86,29.09,29.75,11.79
306,General Roca,0,AR,1554620400,81,-39.03,-67.58,50.0,2.73
307,Okhotsk,48,RU,1554625049,73,59.36,143.24,34.79,3.29
308,Calabozo,0,VE,1554625050,76,8.92,-67.43,76.01,12.24
309,Albesti,0,RO,1554624660,57,47.7,27.07,57.0,6.93
310,Mackay,1,CA,1554620400,69,53.65,-115.58,33.8,4.7
311,Alexandria,75,US,1554625023,94,31.31,-92.44,73.4,9.17
312,Turan,64,RU,1554625051,64,52.15,93.92,30.38,5.64
313,Pontes e Lacerda,88,BR,1554625051,91,-15.23,-59.33,65.39,3.96
314,Chicama,40,PE,1554620400,93,-7.84,-79.15,66.2,5.82
315,Klyuchi,0,RU,1554625052,53,52.25,79.17,44.78,12.46
316,Cidreira,100,BR,1554625052,98,-30.17,-50.22,67.64,6.76
317,Nichinan,20,JP,1554624150,73,31.65,131.31,71.6,11.41
318,Norman Wells,20,CA,1554620400,85,65.28,-126.83,14.0,5.75
319,Dalvik,8,SE,1554624944,61,57.79,14.13,48.99,11.41
320,Babanka,88,UA,1554625053,64,48.71,30.45,56.57,8.66
321,Matamoros,90,US,1554624961,94,25.87,-97.51,75.2,10.29
322,Lompoc,90,US,1554624757,93,34.64,-120.46,59.0,10.29
323,Syracuse,90,US,1554624986,93,43.05,-76.15,43.0,2.62
324,Tikapur,0,NP,1554625053,65,28.53,81.12,77.9,2.73
325,Naze,40,NG,1554620400,94,5.43,7.07,77.0,8.43
326,Haines Junction,88,CA,1554625054,92,60.75,-137.51,27.68,1.72
327,The Valley,20,AI,1554624124,69,18.22,-63.06,77.0,13.87
328,Adiake,75,CI,1554624000,89,5.29,-3.3,84.2,8.05
329,Santa Fe,0,AR,1554624951,81,-31.62,-60.7,61.0,1.99
330,Aklavik,20,CA,1554620400,65,68.22,-135.01,8.6,6.93
331,Kloulklubed,90,PW,1554619800,94,7.04,134.26,78.8,3.36
332,Fez,75,MA,1554622200,66,34.03,-5.02,51.8,14.99
333,Isabela,88,PH,1554624922,63,10.2,122.99,85.55,3.62
334,Bure,8,NG,1554625056,26,10.52,10.33,100.4,5.3
335,Chimore,0,BO,1554625056,90,-16.98,-65.13,60.35,2.17
336,Alta Floresta,88,BR,1554625056,95,-9.87,-56.08,73.13,2.06
337,Saint Anthony,90,US,1554625025,49,43.97,-111.68,46.4,10.29
338,Gweru,12,ZW,1554625057,48,-19.46,29.82,79.52,10.56
339,Andra,0,RU,1554625005,68,62.52,65.89,41.45,8.43
340,Puerto Escondido,0,MX,1554624969,100,15.86,-97.07,82.31,12.46
341,Evensk,8,RU,1554625057,78,61.92,159.24,32.9,11.79
342,Rongcheng,0,CN,1554624936,65,37.16,122.42,52.0,1.99
343,Tevriz,0,RU,1554625058,59,57.51,72.4,41.54,6.76
344,Takoradi,8,GH,1554625058,89,4.89,-1.75,84.38,9.1
345,Te Anau,0,NZ,1554625058,83,-45.41,167.72,35.51,1.61
346,Rantoul,1,US,1554625021,87,40.31,-88.16,55.99,11.01
347,Batagay-Alyta,0,RU,1554625058,75,67.8,130.41,23.9,2.95
348,Nassau,0,DE,1554625036,71,51.17,13.51,60.01,4.7
349,Vao,0,EE,1554625059,63,59.1,26.19,47.66,8.32
350,Deputatskiy,20,RU,1554625059,86,69.3,139.9,19.94,2.73
351,Riohacha,0,CO,1554624800,94,11.54,-72.91,76.82,14.36
352,Quatre Cocos,75,MU,1554624839,58,-20.21,57.76,86.0,12.75
353,Tuatapere,0,NZ,1554624606,82,-46.13,167.69,50.0,5.19
354,Saint-Francois,0,FR,1554625035,81,46.42,3.91,45.0,3.36
355,Murray,1,US,1554624812,75,40.67,-111.89,46.0,9.17
356,Nuuk,44,GL,1554623524,89,64.17,-51.74,33.01,9.17
357,San Patricio,0,PY,1554625060,92,-26.98,-56.83,62.42,4.41
358,Mandalgovi,24,MN,1554625061,79,45.76,106.27,36.41,9.1
359,Lagoa,75,PT,1554624834,72,37.14,-8.45,59.0,16.11
360,Visnes,90,NO,1554624903,93,59.36,5.22,48.0,3.36
361,Kadhan,0,PK,1554625061,25,24.48,68.99,107.24,9.44
362,Dharchula,48,IN,1554625061,99,29.85,80.53,45.41,0.83
363,Jiwani,12,PK,1554625062,49,25.05,61.74,92.93,11.68
364,Aksarka,0,RU,1554625062,91,66.56,67.8,30.11,16.49
365,Ormond Beach,1,US,1554625048,100,29.29,-81.06,68.0,5.41
366,Kamenka,68,RU,1554624390,72,53.19,44.05,44.01,4.18
367,Manyana,12,AU,1554625034,73,-35.26,150.51,73.4,6.93
368,Paengaroa,0,NZ,1554625027,83,-37.83,176.42,57.0,5.41
369,Trabzon,90,TR,1554623400,93,41.01,39.72,50.0,4.7
370,Ponta Delgada,20,PT,1554625025,71,37.73,-25.67,55.0,9.17
371,Am Timan,0,TD,1554625063,15,11.04,20.28,101.84,12.01
372,Zunyi,0,CN,1554625064,35,27.73,106.92,83.12,12.24
373,Usinsk,36,RU,1554625064,94,66.0,57.56,34.34,7.65
